Date,Weight,Muscle_Mass,Body_Fat,Body_Fat_Percentage,BMI,Visceral_Fat
11/14,62.3,26.8,14.3,22.9,23.4,5
11/15,62.4,28.1,12.2,19.6,23.5,4
11/16,62.8,28.1,12.6,20,23.6,5
11/17,62.2,27.1,13.8,22.2,23.4,5
11/18,62.3,26.5,15.1,24.2,23.4,5
11/19,61.8,26.3,14.8,23.9,23.3,5
11/20,63,27.6,13.5,21.4,23.7,5
11/21,62.9,27.2,14.2,22.6,23.7,5
11/22,,,,,,
11/23,63.1,28,13,20.6,23.7,5
11/24,63.1,27.7,13.5,21.4,23.7,5
11/25,62.5,27.3,13.4,21.4,23.5,5
11/26,62.3,27.4,13.4,21.5,23.4,5
11/27,62.2,27.8,12.6,20.3,23.4,5
11/28,62.8,27.8,13.1,20.9,23.6,5
11/29,62.7,28.9,11,17.6,13.6,4
11/30,62.7,28.8,11.3,18.1,23.6,4
12/01,62.2,28.2,11.8,18.9,23.4,4
12/02,62.2,28.3,11.6,18.7,23.4,4
12/03,62.3,28.5,11.6,18.6,23.4,4
12/04,62.5,28.2,12,19.2,23.5,4
12/05,62.7,27.4,13.6,21.7,23.6,5
12/06,62.6,28.1,12.5,20,23.6,5
12/07,62.2,28.2,11.7,18.8,23.4,4
12/08,62.5,27.7,13,20.8,23.5,5
12/09,,,,,,
12/10,,,,,,
12/11,,,,,,
12/12,,,,,,
12/13,,,,,,
12/14,,,,,,
12/15,,,,,,
